,name,id,lat,lon,capacity,closest_district
258,"Kennington Lane Rail Bridge, Vauxhall",270,51.4863434,-0.122492418,31,Westminster
259,"London Zoo,  The Regent's Park",271,51.53583617,-0.156285395,32,Camden
260,"Baylis Road, Waterloo",272,51.50144456,-0.11069930900000001,22,Lambeth
261,"Belvedere Road 1, South Bank",273,51.50613324,-0.114686385,38,Lambeth
262,"Warwick Road, Olympia",274,51.49671237,-0.20528437,36,Kensington and Chelsea
263,"Barbican Centre, Barbican",275,51.52004497,-0.092176447,19,City of London
264,"Lower Thames Street, Monument",276,51.50930161,-0.084985356,24,City of London
265,"Kensington Church Street, Kensington",277,51.50315739,-0.191496313,17,Kensington and Chelsea
266,"Tooley Street, Bermondsey",278,51.503493799999994,-0.07962099,17,City of London
267,"North Wharf Road, Paddington",279,51.51862243,-0.176645823,25,Kensington and Chelsea
268,"Royal Avenue 2, Chelsea",280,51.490083,-0.162418,10,Westminster
269,"Smith Square, Westminster",281,51.49580589,-0.127575233,18,Westminster
270,"Royal London Hospital, Whitechapel",282,51.51906446,-0.059642081,42,City of London
271,"Kingsway, Covent Garden",283,51.51440928,-0.11847875699999999,16,Lambeth
272,"Lambeth North Station, Waterloo",284,51.49914063,-0.112031483,20,Lambeth
273,"St. John's Wood Road, St. John's Wood",286,51.527294700000006,-0.174653609,35,Camden
274,"Bedford Way, Bloomsbury",287,51.52367314,-0.128377673,23,Camden
275,"Elizabeth Bridge, Victoria",288,51.49236962,-0.147478734,34,Westminster
276,"South Audley Street, Mayfair",289,51.50923022,-0.151296092,15,Westminster
277,"Winsland Street, Paddington",290,51.51678023,-0.175488803,15,Kensington and Chelsea
278,"Claverton Street, Pimlico",291,51.48483991,-0.13808906199999998,32,Westminster
279,"Montpelier Street, Knightsbridge",292,51.49888404,-0.165471605,16,Westminster
280,"Kensington Olympia Station, Olympia",293,51.49815779,-0.209494128,25,Kensington and Chelsea
281,"St. George's Square, Pimlico",294,51.488226,-0.135635511,16,Westminster
282,"Swan Street, The Borough",295,51.50029631,-0.092762704,27,Southwark
283,"Knaresborough Place, Earl's Court",296,51.49363156,-0.19060332600000002,18,Kensington and Chelsea
284,"Geraldine Street, Elephant & Castle",297,51.49612799,-0.106000855,17,Southwark
285,"Curlew Street, Shad Thames",298,51.50227992,-0.074189225,21,City of London
286,"Vincent Square, Westminster",299,51.49398524,-0.136928582,19,Westminster
287,"Serpentine Car Park, Hyde Park",300,51.505014,-0.17306032,18,Kensington and Chelsea
288,"Marylebone Lane, Marylebone",301,51.51475963,-0.148105415,24,Westminster
289,"Putney Pier, Wandsworth",302,51.466907,-0.21657300000000002,28,Wandsworth
290,"Albert Gate, Hyde Park",303,51.50295379,-0.158456089,28,Westminster
291,"Kennington Lane Tesco, Vauxhall",305,51.48677988,-0.11585396099999999,15,Lambeth
292,"Rathbone Street, Fitzrovia ",306,51.51816295,-0.135025698,16,Lambeth
293,"Black Lion Gate, Kensington Gardens",307,51.50990837,-0.187842717,24,Kensington and Chelsea
294,"Long Lane , Bermondsey",308,51.49907558,-0.08566631599999999,20,Southwark
295,"Embankment (Savoy), Strand",309,51.50963123,-0.11904756300000001,41,Lambeth
296,"Black Prince Road, Vauxhall",310,51.4908679,-0.116911864,19,Lambeth
297,"Foley Street, Fitzrovia",311,51.51918144,-0.140485596,24,Westminster
298,"Grove End Road, St. John's Wood",312,51.53088935,-0.176770502,20,Camden
299,"Wells Street, Fitzrovia ",313,51.51734403,-0.138072691,37,Westminster
300,"Tyers Gate, Bermondsey",314,51.50088934,-0.083159352,36,Southwark
301,"The Tennis Courts, The Regent's Park",315,51.52536703,-0.153463612,16,Camden
302,"Dickens Square, Borough",317,51.49679128,-0.093913472,32,Southwark
303,"Sackville Street, Mayfair",318,51.51004801,-0.138846453,18,Westminster
304,"Baldwin Street, St. Luke's",319,51.52702563,-0.08854277099999999,21,City of London
305,"Queen Mother Sports Centre, Victoria",320,51.49357351,-0.139956043,26,Westminster
306,"Bermondsey Street, Bermondsey",321,51.49785559,-0.081608045,24,Southwark
307,"Palissy Street, Shoreditch",322,51.526293,-0.07395499999999999,26,City of London
308,"Clifton Street, Shoreditch",323,51.523196,-0.083067,24,City of London
309,"Ontario Street, Elephant & Castle",324,51.49652013,-0.10138406800000001,15,Southwark
310,"St. Martin's Street, West End",325,51.50908747,-0.129697889,18,Lambeth
311,"Graham Street, Angel",326,51.53266186,-0.099981142,26,Islington
312,"New North Road 1, Hoxton",327,51.53095,-0.085603,22,Islington
313,"New North Road 2, Hoxton",328,51.53114,-0.086016,22,Islington
