dates,postcode,street,title,Year,Month,Days,Duration
07th January 2018,N16 8BH,Stoke Newington Road,"
The Big London Flea ",2018,1,7,
23rd April - 13th May 2017,WC2E 9DD,Bow Street,"
Mayerling ",2017,5,23ri,
24th April - 20th May 2017,SW1W 8AS,Sloane Square,"
The Ferryman ",2017,5,24ri,
24th April - 08th May 2017,WC2E 9DD,Bow Street,"
The Royal Opera: The Exterminating Angel ",2017,5,24ri,
24th April - 10th June 2017,N1 1TA,Almeida Street,"
The Treatment ",2017,6,24ri,
25th April - 16th May 2017,W1T 3NG,50 Berners Street,"
Cocktails & Coding ",2017,5,25ri,
26th April - 28th August 2017,WC2N 5DN,Trafalgar Square,"
Chris Ofili: Weaving Magic ",2017,8,26th April - 28t,
26th April - 27th May 2017,W12 8LJ,7 Uxbridge Road,"
While We're Here ",2017,5,26ri,
27th April - 03rd September 2017,SE1 6HZ,"Lambeth Road, Elephant and Castle","
Sergey Ponomarev: A Lens on Syria ",2017,9,27th April - 03r,
28th - 31st March 2019,N22 7AY,"Alexandra Palace Way, Wood Green","
Country Living Magazine Spring Fair ",2019,3,2831,
Various Venues,WC2N 5DW,London,"
Sci-Fi-London Festival ",2017,0,Va,
28th April - 29th August 2017,NW1 2DB,96 Euston Road,"
Russian Revolution: Hope, Tragedy, Myths ",2017,8,28th April - 29t,
04th May - 07th October 2017,EC2A 3JX,1-5 Curtain Road,"
The Queen of Hoxton Rooftop: Bangarang ",2017,10,4,
28th - 30th April 2017,EC3R 6DX,"1 Old Billingsgate Walk, 16 Lower Thames Street","
Be:Fit ",2017,4,2830,
28th - 29th April 2017,WC1H 9PY,17 Duke's Road,"
Shobana Jeyasingh Dance: Material Men redux ",2017,4,2829,
"4th, 5th and 6th May 2019",W2 1TH  ,Maida Vale,"
Canalway Cavalcade ",2019,5,4t,
"3rd, 4th and 5th May 2019",EC1R 4TN,Rosebery Avenue,"
Breakin' Convention ",2019,5,3r,
27th April 2019,WC2N 5DS,Central London,"
Vaisakhi Festival ",2019,4,27,
29th April - 01st May 2017,W1J 7NT,"149 Piccadilly, Hyde Park Corner","
Butlers and Banquets at Apsley House ",2017,5,29ri,
25th April - 16th May 2017,W1T 3NG,50 Berners Street,"
Cocktails & Coding ",2017,5,25ri,
02nd - 13th May 2017,SE1 9DT,"21 New Globe Walk, Bankside","
Nell Gwynn ",2017,5,213,
02nd May - 15th July 2017,SE1 8XZ,South Bank,"
Salome ",2017,7,02y ,
Various Venues,WC2N 5DW,London,"
London Craft Week ",2017,0,Va,
03rd - 06th May 2017,W1D 7EZ,29 Shaftesbury Avenue,"
Brodsky/Baryshnikov ",2017,5,306,
03rd May - 01st October 2017,W12 7RJ,"Wood Lane, White City","
Pergola on the Roof ",2017,10,3,
03rd - 07th May 2017,EC1R 4TN,Rosebery Avenue,"
James Thierree: The Toad Knew ",2017,5,307,
25th - 28th April 2019,W1J 0BD,Burlington House,"
The London Original Print Fair ",2019,4,2528,
9th May to 30th June 2019,SE15 4ST,133 Rye Lane,"
Rooftop Film Club at Bussey Building ",2019,6,9t,
04th May - 07th October 2017,EC2A 3JX,1-5 Curtain Road,"
The Queen of Hoxton Rooftop: Bangarang ",2017,10,4,
20th - 21st July 2018,N1C 4UZ,York Way,"
KERB: The Bucket List ",2018,7,2021,
3rd to 19th May 2019,SW18 4ES,356 Garratt Lane,"
Wandsworth Arts Fringe ",2019,5,3r,
Saturday 4th May 2019,XX1 0LL,London,"
The Tweed Run ",2019,5,Sa,
10th May - 10th September 2017,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Alberto Giacometti ",2017,9,10th May - 10th ,
10th - 20th May 2017,SW1W 8AS,Sloane Square,"
Manwatching ",2017,5,1020,
03rd May - 01st September 2018,SW6 2TY,London,"
Neverland London ",2018,9,03rd May - 01st ,
26th - 29th April 2018,E2 9DY,29-32 The Oval,"
Prosecco Springs ",2018,4,2629,
"9th, 10th, 11th and 12th May 2019",NW3 1TH,East Heath Road,"
Affordable Art Fair Hampstead ",2019,5,9t,
"10th, 11th and 12th May 2019",E1 6QL,91 Brick Lane,"
Balance Festival ",2019,5,10,
12th - 14th May 2017,W14 8UX,Hammersmith Road,"
Spin Cycling Festival ",2017,5,1214,
12th May 2017,SE1 8XX,Belvedere Road,"
Maximo Park ",2017,5,12,
12th - 13th May 2017,E8 2DS,28 Millers Avenue,"
The Brooklyn Brewery Mash: Beer Mansion ",2017,5,1213,
12th May 2017,E1 6DW,1 Crispin Place,"
Art Beats ",2017,5,12,
13th May - 01st October 2017,SW7 2RL,Cromwell Road,"
The Pink Floyd Exhibition: Their Mortal Remains ",2017,10,13,
13th May - 03rd September 2017,SE1 7NN,10 Leake Street,"
Adventures in Wonderland ",2017,9,13th May - 03rd ,
13th May 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
The Kooks ",2017,5,13,
Saturday 11th and Sunday 12th May 2019,SW13 9SA,London,"
Barnes Children's Literature Festival ",2019,5,Sa,
14th May 2017,SW16 1HS,Streatham High Road,"
Streatham Common Kite Day ",2017,5,14,
13th May 2018,WC2E 9ED,Bedford Street,"
Covent Garden May Fayre and Puppet Festival ",2018,5,13,
15th May - 24th June 2017,SE1 8NB,103 The Cut,"
Woyzeck ",2017,6,15y ,
16th May - 17th June 2017,WC2H 7JB,6-7 Great Newport Street,"
Judy! ",2017,6,16y ,
18th May - 05th August 2017,SE1 9DT,"21 New Globe Walk, Bankside","
Twelfth Night ",2017,8,18y ,
"16th, 17th, 18th and 19th May 2019",WC2R 1LA,Strand,"
Photo London ",2019,5,16,
17th May - 09th September 2018,NW1 4NR,"Inner Circle, Regent's Park","
Open Air Theatre ",2018,9,17th May - 09th ,
19th May - 03rd September 2017,WC2E 7BB,39 Wellington Street,"
Prize for Illustration 2017: Sounds of the City ",2017,9,19th May - 03rd ,
19th - 29th May 2017,SE1 8XX,Belvedere Road,"
Alchemy ",2017,5,1929,
19th May - 01st July 2017,NW1 4NR,"Inner Circle, Regent's Park","
On The Town ",2017,7,19y ,
19th May - 12th November 2017,SW1A 1AA,Birdcage Walk,"
Canaletto And The Art Of Venice ",2017,11,19th May - 12th ,
Saturday 11th May 2019,W1U 5BA,"St Marylebone Parish Church Grounds, Marylebone High Street","
Cabbages and Frocks: Dog Day Afternoon ",2019,5,Sa,
19th - 27th May 2018,WC2N 5DW,London,"
Chelsea Fringe ",2018,5,1927,
20th May 2018,SE10 0PE,1 Green Place,"
Urban Village Fete ",2018,5,20,
22nd May 2017,EC2Y 8DS,Silk Street,"
KT Tunstall ",2017,5,22,
21st to 25th May 2019,SW3 4SR,Royal Hospital Road,"
RHS Chelsea Flower Show ",2019,5,21,
23rd May - 18th February 2018,W1D 7DY,16 Denman Street,"
Annie ",2018,5,23rd May - 18th ,
24th May - 15th October 2017,W8 6AG,224-238 Kensington High Street,"
California ",2017,10,24,
25th May - 13th August 2017,WC1B 3DG,Great Russell Street,"
Beyond the Great Wave ",2017,8,25y ,
25th May - 24th June 2017,SW1W 8AS,Sloane Square,"
Killology ",2017,6,25y ,
25th May 2017,EC2R 8EJ,"1 Poultry, Bank","
Fat Buddha Yoga at Coq d'Argent ",2017,5,25,
25th - 27th May 2018,RM14 2TN,"Aveley Road, Upminster","
We Are FSTVL ",2018,5,2527,
26th May - 10th September 2017,N1C 4BH,2 Granary Square,"
Anime Architecture: Backgrounds Of Japan ",2017,9,26th May - 10th ,
27th May - 18th February 2018,SW7 2RL,Cromwell Road,"
Balenciaga: Shaping Fashion ",2018,5,27th May - 18th ,
27th May 2017,W1F 7TF,8 Argyll Street,"
Simple Minds ",2017,5,27,
"25th, 26th and 27th May 2019",TW8 8JF,"London Road, Brentford","
Foodies Festival, Syon Park ",2019,5,25,
27th May 2017,SW7 2AP,Kensington Gore,"
Sigma ",2017,5,27,
19th May 2018,HA9 0WS,Wembley,"
FA Cup Final ",2018,5,19,
Sunday 26th May 2019,SE15 3UA,Strakers Road,"
Gala Festival ",2019,5,Su,
28th May 2017,SE1 1TL,Southwark Street,"
London Pizza Festival ",2017,5,28,
18th July to 24th August 2019,NW1 8EH,Chalk Farm Road,"
Barber Shop Chronicles ",2019,8,18,
30th May - 12th July 2017,SE1 8XZ,South Bank,"
Common ",2017,7,30y ,
30th May - 03rd June 2017,SW1Y 4HT,Haymarket,"
Sand in the Sandwiches ",2017,6,30y ,
30th May - 30th July 2017,WC2H 7JB,6-7 Great Newport Street,"
The Greaty Gatsby ",2017,7,30y ,
31st May - 03rd June 2017,EC1R 4TN,Rosebery Avenue,"
Akram Khan: Desh ",2017,6,31y ,
27th - 29th July 2018,SE1 8XX,Belvedere Road,"
Chorus ",2018,7,2729,
01st July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: Green Day ",2017,7,1,
01st July 2017,N4 1EE,Endymion Road,"
Community Festival ",2017,7,1,
01st - 02nd July 2017,SE10 9LW,King William Walk,"
Cliff Richard ",2017,7,102,
1st to 7th Jul 2019,SE10 9LW,King William Walk,"
Greenwich Music Time ",2019,0,1s,
01st July 2017,E1 7QX,77-82 Whitechapel High Street,"
Art Night ",2017,7,1,
01st - 16th July 2017,WC2N 5DW,London,"
Shubbak Festival ",2017,7,116,
02nd July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: Justin Bieber ",2017,7,2,
02nd July 2017,WC2N 5DS,Central London,"
Eid Festival ",2017,7,2,
7th to 28th July 2019,W1B 5SJ,Regent Street,"
Summer Streets ",2019,7,7t,
1st to 14th July 2019,SW19 5AE,Church Road,"
Wimbledon Lawn Tennis Championship 2017 ",2019,7,1s,
"8th, 9th, 10th and 11th Jul 2019",W2 2UH,Rangers Lodge,"
British Summer Time: Open House ",2019,0,8t,
03rd - 09th July 2017,N4 3JP,11 Clifton Terrace,"
Ian McKellen: Shakespeare, Tolkien, Others & You ",2017,7,309,
1st to 7th Jul 2019,KT8 9AU,"East Molesey, Surrey","
RHS Hampton Court Palace Flower Show ",2019,0,1s,
05th - 16th July 2017,WC2E 9DD,Bow Street,"
Royal Opera: Turandot ",2017,7,516,
05th July 2017,SE24 0PA,"Lido Park Gardens, Brockwell Park","
Luna Cinema: Brockwell Lido: Jaws ",2017,7,5,
05th - 08th July 2017,N1 0QH,52 Upper Street,"
New Designers Exhibition Part Two ",2017,7,508,
06th July - 01st October 2017,SE1 7JY,Lambeth Palace Road,"
Zip World London ",2017,10,06th July - 01st,
06th July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: Kings of Leon ",2017,7,6,
11th to 21st July 2019,WC2R 1LA,Strand,"
Somerset House Summer Series ",2019,7,11,
06th July - 26th August 2017,W1D 3NE,21 Dean Street,"
Touch ",2017,8,6,
07th July 2017,SE10 9LW,King William Walk,"
Little Mix ",2017,7,7,
07th - 09th July 2017,SE3 0UA,Shooters Hill Road,"
Foodies Festival, Blackheath ",2017,7,709,
"5th, 6th and 7th July 2019",N4 1EE,Endymion Road,"
Wireless Festival ",2019,7,5t,
07th July - 05th August 2017,NW1 4NR,"Inner Circle, Regent's Park","
A Tale Of Two Cities ",2017,8,7,
08th July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: The Killers ",2017,7,8,
Saturday 6th July 2019,WC2N 5DS,Central London,"
Pride in London Parade ",2019,7,Sa,
09th July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: Tom Petty and The Heartbreakers ",2017,7,9,
16th September 2018,N1C 4AA,Good's Way,"
Vauxhall Art Car Boot Fair ",2018,9,16,
10th - 15th July 2018,TW9 3AB,"Kew, Richmond","
Kew the Music ",2018,7,1015,
12th July - 22nd October 2017,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Soul of a Nation: Art in the Age of Black Power ",2017,10,12th July - 22nd,
13th July - 07th October 2017,W1D 7EZ,29 Shaftesbury Avenue,"
Cat On A Hot Tin Roof ",2017,10,13th July - 07th,
14th July - 28th February 2018,SW7 5BD,Cromwell Road,"
Whales: Beneath the surface ",2018,7,14th July - 28th,
14th July - 15th October 2017,SE1 9DT,"21 New Globe Walk, Bankside","
Much Ado About Nothing ",2017,10,14th July - 15th,
19th July to 14th September 2019,SW7 2AP,Kensington Gore,"
The BBC Proms ",2019,9,19,
Friday 12th and Saturday 13th July 2019,W3 8LQ,Popes Lane,"
Lovebox ",2019,7,Fr,
14th July - 02nd January 2018,EC2Y 5HN,150 London Wall,"
The City Is Ours ",2018,7,14th July - 02nd,
14th - 16th July 2017,E1W 2SF,50 Porters Walk,"
Hyper Japan ",2017,7,1416,
14th July 2018,WC1B 5BL,Bedford Square,"
The Chap Olympiad ",2018,7,14,
15th July - 28th August 2017,NW1 8EH,Chalk Farm Road,"
Camden Beach ",2017,8,15,
15th July - 12th November 2017,SW7 2RL,Cromwell Road,"
Plywood: Material Of The Modern World ",2017,11,15th July - 12th,
21st - 22nd July 2018,SE24 0PA,Norwood Road,"
Lambeth Country Show ",2018,7,2122,
14th - 15th July 2018,SW19 5AE,Church Road,"
Wimbledon Finals Weekend ",2018,7,1415,
15th July 2018,W3 8LQ,Popes Lane,"
Citadel Festival ",2018,7,15,
17th July - 05th August 2017,NW1 4NR,"Inner Circle, Regent's Park","
Oliver Twist ",2017,8,17,
18th July - 28th September 2017,SE1 9PX,South Bank,"
Mosquitoes ",2017,9,18th July - 28th,
19th - 21st July 2017,NW1 4AQ,1 Marylebone Road,"
The San Miguel Experience ",2017,7,1921,
20th - 22nd July 2018,SW6 6SX,Bishop's Avenue,"
Pop Up Screens, Bishop's Park ",2018,7,2022,
21st - 22nd July 2017,N1C 4AA,Good's Way,"
KERB's Guiltiest Pleasures ",2017,7,2122,
22nd July - 01st October 2017,SW1A 1AA,Buckingham Palace Road,"
Royal Gifts ",2017,10,22nd July - 01st,
22nd - 23rd July 2017,W5 5BQ,Mattock Lane,"
Ealing Blues Festival ",2017,7,2223,
20th July to 29th September 2019,SW1A 1AA,Buckingham Palace Road,"
Summer Opening of the State Rooms at Buckingham Palace ",2019,9,20,
22nd July - 25th February 2018,E2 9PA,Cambridge Heath Road,"
Michael Morpurgo: A Lifetime in Stories ",2018,7,22nd July - 25th,
24th - 29th July 2017,W12 8LJ,7 Uxbridge Road,"
Nassim ",2017,7,2429,
26th July - 03rd September 2017,WC2H 0HH,2 Charing Cross Road,"
Gangsta Granny ",2017,9,26th July - 03rd,
27th July 2017,SE24 0PA,"Lido Park Gardens, Brockwell Park","
Luna Cinema: Brockwell Lido: The Graduate ",2017,7,27,
Saturday 3rd and Sunday 4th August 2019,SW1A 2BJ,Horse Guards Road,"
Prudential RideLondon ",2019,8,Sa,
03rd - 04th August 2018,E1 6DW,1 Crispin Place,"
Street Eats ",2018,8,304,
28th July - 20th August 2017,W6 0QA,"Lyric Square, 2 King Street","
Fantastic Mr Fox ",2017,8,28,
Saturday 3rd August 2019,SW1A 2BJ,Horse Guards Road,"
Brompton World Championship Final ",2019,8,Sa,
29th July 2017,SE10 0PE,1 Green Place,"
Corona SunSets Festival ",2017,7,29,
29th - 30th July 2017,E8 3PE,Martello Road,"
The Playground ",2017,7,2930,
30th July - 26th August 2018,WC2N 5DW,London,"
Camden Fringe ",2018,8,30,
11th to 28th July 2019,WC2R 1LA,Strand,"
The World Illustration Awards ",2019,7,11,
30th July - 26th August 2018,WC2N 5DW,London,"
Camden Fringe ",2018,8,30,
01st - 05th August 2017,SE1 8XX,Belvedere Road,"
English National Ballet: Romeo and Juliet ",2017,8,105,
1st to 31st August 2019,WC2H 7BP,London,"
Kids Week ",2019,8,1s,
01st August 2017,W1F 0RU,Brewer Street,"
A Battle of the Bubbles: English Sparkling vs French Champagne ",2017,8,1,
01st - 24th August 2017,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Jungle Book ",2017,8,124,
01st - 06th August 2017,SE16 2UA,Lower Road,"
Tales From The Arabian Nights ",2017,8,106,
01st - 02nd August 2017,WC2N 6PB,"Victoria Embankment, Villiers Street","
The Luna Cinema: Victoria Embankment Gardens: The Princess Bride ",2017,8,102,
02nd August - 07th October 2017,W1W 8DX,46 Eastcastle Street,"
Indian Treasures ",2017,10,02nd August - 07,
03rd - 06th August 2017,OX20 1PP,Woodstock,"
BBC Countryfile Live ",2017,8,306,
04th - 05th August 2017,SE1 2AA ,"City Hall, 110 The Queens Walk","
London Beach Rugby ",2017,8,405,
"9th, 10th and 11th August 2019",E1W 2SF,50 Porters Walk,"
London Craft Beer Festival ",2019,8,9t,
04th August - 02nd September 2017,WC2H 0HH,2 Charing Cross Road,"
Horrible Histories: More Best of Barmy Britain ",2017,9,04th August - 02,
10th - 12th August 2018,W6 0SL,Ravenscourt Avenue,"
Pop Up Screens, Ravenscourt Park ",2018,8,1012,
Saturday 20th and Sunday 21st July 2019,TW9 3AB,"Kew, Richmond","
Kew Science Festival ",2019,7,Sa,
30th March - 29th April 2018,SE1 3UD,London Bridge Walk,"
Travel Photographer of the Year ",2018,4,30,
04th August - 30th September 2017,W1S 3PR,"20 Savile Row, Mayfair","
Sorrento Terrace at Sartoria ",2017,9,04th August - 30,
05th August - 12th November 2017,W1J 0BD,Burlington House,"
Matisse in the Studio ",2017,11,05th August - 12,
04th August 2018,EC2M 7QH,Walthamstow,"
Visions Festival ",2018,8,4,
04th - 05th August 2018,E15 2EE,Olympic Park,"
London Wing Fest ",2018,8,405,
05th August 2017,SW8 1RT,6a South Lambeth Place,"
The London Rum & Reggae Experience ",2017,8,5,
07th - 12th August 2017,TW9 1QJ,"The Green, Surrey","
Wonderland ",2017,8,712,
08th - 12th August 2017,W14 8UX,Hammersmith Road,"
The Great British Beer Festival ",2017,8,812,
10th August - 14th October 2017,SE1 9DT,"21 New Globe Walk, Bankside","
King Lear ",2017,10,10th August - 14,
8th to 21st August 2019,WC2R 1LA,Strand,"
Film4 Summer Screen at Somerset House ",2019,8,8t,
10th August 2017,SE1 8XX,Belvedere Road,"
Tero Saarinen Company: Morphed ",2017,8,10,
4th July to 24th August 2019,EC2Y 8DS,Silk Street,"
Jesus Christ Superstar ",2019,8,4t,
11th - 28th August 2017,SE1 9PX,South Bank,"
The Majority ",2017,8,1128,
03rd - 05th August 2018,WC1N 1DN,93 Guilford Street,"
Pop Up Screens, Coram's Fields ",2018,8,305,
12th August - 30th September 2017,N1 1TA,Almeida Street,"
Against ",2017,9,12th August - 30,
12th August 2017,SE24 0PA,Norwood Road,"
Sunfall ",2017,8,12,
13th - 16th August 2017,SE1 8XX,Belvedere Road,"
Cirkus Cirkor: Limits ",2017,8,1316,
15th - 16th August 2018,SW1P 3PA,Dean's Yard,"
The Luna Cinema: Westminster Abbey ",2018,8,1516,
17th August - 07th October 2017,WC2H 9LD,"41 Earlham Street, Seven Dials","
Knives in Hens ",2017,10,17th August - 07,
18th - 20th August 2017,SE1 8XX,Belvedere Road,"
Iceland Dance Company: Sacrifice ",2017,8,1820,
18th - 20th August 2017,SE11 4BU,"Kennington Park Road, St. Agnes Place","
Pop Up Screens, Kennington Park ",2017,8,1820,
18th - 19th August 2017,N1C 4UZ,York Way,"
KERB: Livin' On The Veg ",2017,8,1819,
19th August 2017,WC2H 9DD,Monmouth Street,"
Spotlight Festival: Seven Dials ",2017,8,19,
14th February to 6th May 2019,SE1 8XZ,South Bank,"
Follies ",2019,5,14,
25th - 27th August 2017,E1W 2SF,50 Porters Walk,"
Gin Festival ",2017,8,2527,
25th - 28th August 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
The Beast ",2017,8,2528,
25th - 26th August 2018,SW4 9DE,Windmill Drive,"
South West Four ",2018,8,2526,
26th - 28th August 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
Foodies Festival, Alexandra Palace ",2017,8,2628,
26th - 28th August 2017,KT8 9AU,"East Molesey, Surrey","
BBC Good Food Festival ",2017,8,2628,
Saturday 24th and Sunday 25th August 2019,W11 3AG,London,"
Notting Hill Carnival ",2019,8,Sa,
28th August 2017,SW4 9DE,Windmill Drive,"
House of Common ",2017,8,28,
29th August - 17th February 2018,W1C 1CX,Marble Arch,"
Five Guys Named Moe ",2018,8,29th August - 17,
31st August 2017,N1 9NL,275 Pentonville Road,"
The Jump Off ",2017,8,31,
31st August - 02nd September 2018,E1W 2SF,50 Porters Walk,"
Meatopia ",2018,9,31st August - 02,
01st - 23rd September 2017,WC1E 7JN,Malet Street,"
Hamlet ",2017,9,123,
03rd September 2017,N1 8GJ,London,"
Angel Canal Festival ",2017,9,3,
04th September - 04th November 2017,W1D 7ES,Shaftesbury Avenue,"
The Simon & Garfunkel Story ",2017,11,04th September -,
04th - 09th September 2017,TW9 1QJ,"The Green, Surrey","
Wait Until Dark ",2017,9,409,
05th - 23rd September 2017,SE1 9PX,South Bank,"
Oslo ",2017,9,523,
05th - 23rd September 2017,WC2H 7JB,6-7 Great Newport Street,"
Waiting for Godot ",2017,9,523,
06th September - 14th October 2017,NW3 3EU,Eton Avenue,"
Prism ",2017,10,06th September -,
07th September - 14th January 2018,NW1 2BE,183 Euston Road,"
Can Graphic Design Save Your Life? ",2018,9,07th September -,
07th - 09th September 2017,WC1N 1NP,Handel Street,"
Rosie Kay Dance Company: 5 SOLDIERS: The Body is the Frontline ",2017,9,709,
08th September - 01st October 2017,SE1 9DT,"21 New Globe Walk, Bankside","
Boudica ",2017,10,08th September -,
Saturday 14th September 2019,WC2H 7BP,London,"
The Great River Race ",2019,9,Sa,
Saturday 13th and Sunday 14th July 2019,SE3 0UA,Shooters Hill Road,"
OnBlackheath 2017 ",2019,7,Sa,
09th September - 06th January 2018,WC2N 4BG,St Martins Lane,"
Ink ",2018,9,09th September -,
11th September - 10th October 2017,WC2E 9DD,Bow Street,"
Royal Opera: La Boheme ",2017,10,11th September -,
12th September - 21st January 2018,SW1P 4RG,Millbank,"
Rachel Whiteread ",2018,9,12th September -,
12th September - 14th October 2017,WC2E 9DD,Bow Street,"
Royal Opera: Die Zauberflote ",2017,10,12th September -,
12th - 16th September 2017,EC1R 4TN,Rosebery Avenue,"
Hofesh Shechter: Grand Finale ",2017,9,1216,
14th September - 28th October 2017,SE1 8LZ,66 The Cut,"
Wings ",2017,10,14th September -,
14th September - 14th January 2018,WC1B 3DG,Great Russell Street,"
Scythians: Warriors of Ancient Siberia ",2018,9,14th September -,
15th September - 02nd December 2017,WC2N 4AU,St Martin's Lane,"
Labour Of Love ",2017,12,15th September -,
15th - 23rd September 2018,WC2N 5DW,London,"
The London Design Festival ",2018,9,1523,
16th - 24th September 2017,EC2A 2BQ,Broadgate,"
Villa Walala ",2017,9,1624,
Various Venues,WC2N 5DW,London,"
Open House London ",2017,0,Va,
24th October 2018 to 5th May 2019,SE10 9NF,"National Maritime Museum, Greenwich","
Astronomy Photographer Of The Year ",2019,10,24,
16th - 19th September 2018,TW8 8JF,"London Road, Brentford","
Decorex International ",2018,9,1619,
18th - 24th September 2017,WC2R 1LA,Strand,"
Design Frontiers ",2017,9,1824,
20th September - 21st October 2017,W12 8LJ,7 Uxbridge Road,"
Ramona Tells Jim ",2017,10,20th September -,
19th - 22nd September 2018,W14 8UX,Hammersmith Road,"
100% Design 2017 ",2018,9,1922,
20th September - 07th May 2018,WC2N 5DN,Trafalgar Square,"
Drawn in Colour: Degas at the Burrell Collection ",2018,9,20th September -,
20th - 23rd September 2017,EC1R 4TN,Rosebery Avenue,"
English National Ballet: Akram Khan's Giselle ",2017,9,2023,
26th September - 07th October 2018,SW1Y 4LR,19 Lower Regent Street,"
Raindance Film Festival ",2018,10,26th September -,
21st September - 28th January 2018,EC2 8DS,Silk Street,"
Basquiat: Boom for Real ",2018,9,21st September -,
21st - 24th September 2017,N1C 4AA,Good's Way,"
DesignJunction ",2017,9,2124,
22nd September - 10th February 2018,N1C 4BH,2 Granary Square,"
Gerald Scarfe: Stage and Screen ",2018,9,22nd September -,
22nd - 24th September 2017,N1 2UN,Compton Terrace,"
Fever Pitch: The Opera ",2017,9,2224,
22nd - 24th September 2017,EC3N 4AB,Tower Hill,"
BBC Good Food's Feast ",2017,9,2224,
23rd September - 10th December 2017,W1J 0BD,Burlington House,"
Jasper Johns ",2017,12,23rd September -,
Sunday 15th September 2019,SW11 4NJ,"Albert Bridge Road, Battersea Park","
Wanderlust 108 ",2019,9,Su,
26th September - 21st October 2017,SE1 9PX,South Bank,"
Jane Eyre ",2017,10,26th September -,
26th - 30th September 2017,TW9 1QJ,"The Green, Surrey","
The Wipers Times ",2017,9,2630,
26th September - 05th November 2017,WC2N 5DW,London,"
Kabeiroi ",2017,11,26th September -,
27th September 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
Lorde ",2017,9,27,
27th September - 28th October 2017,E1 8JB,"Graces Alley, Off Ensign Street","
The Terrible Infants ",2017,10,27th September -,
27th September - 28th October 2017,WC2E 9DD,Bow Street,"
The Royal Ballet: Alice's Adventures in Wonderland ",2017,10,27th September -,
27th - 30th September 2017,EC1R 4TN,Rosebery Avenue,"
Acosta Danza ",2017,9,2730,
28th September - 25th August 2018,WC2H 0HH,2 Charing Cross Road,"
Young Frankenstein ",2018,9,28th September -,
28th - 29th September 2017,EC1R 4TN,Rosebery Avenue,"
On The Habit Of Being Oneself ",2017,9,2829,
28th - 30th September 2018,WC2N 5DW,London,"
Barnes Film Festival ",2018,9,2830,
29th September - 21st October 2017,SE1 8LZ,66 The Cut,"
My Name is Rachel Corrie ",2017,10,29th September -,
29th September - 05th October 2017,EC2Y 8DS,Silk Street,"
The Grime and the Glamour: NYC 1976-90 ",2017,10,29th September -,
30th September - 25th February 2018,SW7 2RL,Cromwell Road,"
Opera: Passion, Power and Politics ",2018,9,30th September -,
30th September - 22nd October 2017,NW1 8AH,"The Stables Market, Chalk Farm Road, Camden","
Oktoberfest at Proud Camden ",2017,10,30th September -,
01st - 31st October 2018,WC2N 5DW,London,"
London Restaurant Festival ",2018,10,131,
01st - 07th October 2018,W1J 5AX,"Berkeley Square, Mayfair","
PAD London Art Fair ",2018,10,107,
02nd - 14th October 2017,KT1 1HL,"24-26 High Street, Kingston upon Thames","
The Real Thing ",2017,10,214,
01st - 07th October 2018,E1 6QL,91 Brick Lane,"
London Cocktail Week ",2018,10,107,
02nd October - 30th December 2017,SW1Y 4DN,6 Panton Street,"
Oslo ",2017,12,02nd October - 3,
03rd October - 02nd April 2018,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
The Hyundai Commission: SUPERFLEX ",2018,10,03rd October - 0,
03rd October - 06th January 2018,WC2H 0DA,Charing Cross Road,"
Heisenberg: The Uncertainty Principle ",2018,10,03rd October - 0,
04th October - 14th January 2018,SE1 7NN,10 Leake Street,"
Hair The Musical ",2018,10,04th October - 1,
04th October - 02nd April 2018,WC2N 5DN,Trafalgar Square,"
Reflections: Van Eyck and the Pre-Raphaelites ",2018,10,04th October - 0,
10th - 21st October 2018,SE1 8XT,"Belvedere Road, South Bank","
BFI London Film Festival ",2018,10,1021,
04th October - 02nd December 2017,SE1 8XZ,South Bank,"
Saint George And The Dragon ",2017,12,04th October - 0,
04th October - 31st March 2018,SW7 2DD,Exhibition Road,"
Illuminating India ",2018,10,04th October - 3,
04th - 07th October 2018,E1 6QL,91 Brick Lane,"
Moniker Art Fair ",2018,10,407,
27th September - 28th October 2018,E15 2EE,Olympic Park,"
Erdinger Oktoberfest ",2018,10,27th September -,
05th - 08th October 2017,WC2R 1LA,Strand,"
1:54 Contemporary African Art Fair ",2017,10,508,
05th October - 07th January 2018,WC2R 1LA,Strand,"
Hassan Hajjaj: La Caravane ",2018,10,05th October - 0,
05th October - 07th January 2018,EC2Y 8DS,Silk Street,"
John Akomfrah: Purple ",2018,10,05th October - 0,
03rd - 07th October 2018,NW1 4NR,Inner Circle,"
Frieze Art Fair ",2018,10,307,
04th - 07th October 2018,WC1B 4DA,Bloomsbury Square,"
The Other Art Fair October 2017 ",2018,10,407,
