Actual,Day,Predicted
93,867,65.0907732945448
84,868,160.823979060812
389,869,207.22379296265
152,870,150.679360614245
390,871,201.464289115906
369,872,173.746496896006
321,873,63.0721677730153
94,874,64.6154499894715
94,875,164.266882863624
388,876,206.988200778899
406,877,205.122139408678
438,878,220.226404511854
458,879,194.737110430758
377,880,78.1702966631094
96,881,72.7093722433039
88,882,170.366194986641
398,883,215.015301652802
412,884,219.523746506961
401,885,214.98507285897
421,886,187.554501992744
349,887,69.7800147998155
73,888,66.4438417610729
97,889,170.538419979924
389,890,205.147794741215
340,891,210.35932992852
373,892,212.232538064072
381,893,176.319865106299
366,894,69.3187078348997
121,895,68.564025593345
118,896,170.137731576787
359,897,208.02454448838
404,898,211.330274417677
438,899,221.678158827583
417,900,179.873695414026
341,901,73.2022021607057
103,902,71.3431591361996
110,903,160.025381996976
399,904,214.552379946109
359,905,206.494172925595
355,906,204.24425798465
436,907,190.283778647104
321,908,62.6843144078328
86,909,70.0709925534595
83,910,175.905250435097
418,911,212.248676338117
401,912,219.246369102685
402,913,219.168713685457
393,914,183.763838715875
318,915,69.1161312041008
59,916,78.9199473840001
90,917,180.497576245069
337,918,201.333994874253
414,919,200.723779436242
347,920,205.509683115664
358,921,172.29877770761
296,922,56.0573867069101
61,923,60.422267047913
95,924,172.873364163453
363,925,201.512398693548
301,926,191.538593549556
240,927,185.579463157731
301,928,148.746495103823
289,929,58.6419413645518
87,930,62.228695009951
110,931,171.477690505732
347,932,202.484204550407
387,933,203.205319713755
166,934,165.155355758436
376,935,175.521771010211
334,936,63.5547120420688
79,937,62.3933916911378
119,938,169.208695928823
357,939,207.553394387845
403,940,216.554499561418
379,941,211.968282865161
221,942,114.19707546971
245,943,46.4852294167193
104,944,59.5690477466791
99,945,157.640981570135
267,946,186.396603576666
352,947,201.075842512144
321,948,199.880452105902
343,949,158.849322994959
253,950,42.6492159543571
80,951,69.8197091538852
89,952,175.247007850144
134,953,175.248769421131
368,954,213.205694685119
320,955,206.348348672154
345,956,159.074380853301
326,957,57.76678499437
91,958,62.9328505159777
71,959,169.353622041173
337,960,194.50037771034
362,961,195.908485218009
363,962,198.389947368502
381,963,174.586554598563
191,964,39.5414575712562
73,965,61.6535731418497
62,966,176.505614042732
335,967,188.645087237503
369,968,184.940576882307
391,969,212.380097133437
390,970,177.630759938741
307,971,55.7354962949248
65,972,57.1543146255884
76,973,178.538563462983
367,974,197.399420628993
419,975,208.106538702001
378,976,202.525680234864
402,977,185.538585628713
353,978,67.5968163305363
95,979,60.0723821981474
79,980,176.889542498574
307,981,194.620795451186
428,982,203.329805031371
396,983,214.125687361688
401,984,185.165959701568
267,985,47.075477116143
73,986,58.1692102321836
72,987,167.569903557225
371,988,199.109629442141
375,989,192.765445271062
405,990,208.808332376443
334,991,161.135395136148
336,992,67.6104850311752
67,993,60.2905884527412
92,994,165.263821615276
374,995,202.256729235179
418,996,204.746870382612
369,997,198.189726052353
404,998,180.604162363076
350,999,70.8549154513297
92,1000,52.5344633748555
99,1001,180.491637068263
361,1002,208.3778038978
392,1003,198.356952823849
294,1004,184.877968712133
354,1005,169.095727014943
308,1006,66.5025116287972
62,1007,57.5187199958217
95,1008,150.110408571723
314,1009,187.231615850036
337,1010,182.370758879879
330,1011,187.045903640309
319,1012,161.730408658335
285,1013,43.8394789096238
80,1014,56.7815024277384
73,1015,156.820678376329
353,1016,195.100222691799
384,1017,189.636545843337
390,1018,198.006740829196
384,1019,170.017514837721
294,1020,57.4511296876716
65,1021,61.7742113092009
87,1022,162.59760066371
339,1023,182.931790497079
359,1024,178.180171954595
353,1025,184.205994158799
386,1026,160.709852057576
283,1027,52.1225291283622
59,1028,53.461030168596
53,1029,172.699506426146
369,1030,188.74064110936
390,1031,184.40201195295
379,1032,189.507059336408
405,1033,182.625476087163
319,1034,52.9986190202765
54,1035,47.4923314107152
69,1036,166.210897748062
343,1037,184.873915594285
406,1038,187.832552517813
363,1039,184.835887646732
368,1040,165.146028956463
223,1041,26.8048687132598
29,1042,40.8427673861707
46,1043,160.855633472601
298,1044,168.05543731929
378,1045,165.111826523052
349,1046,165.809270351062
342,1047,135.794723486195
235,1048,23.5492336038296
68,1049,28.998672678942
46,1050,161.626622907452
370,1051,189.892621921936
388,1052,181.954679125717
189,1053,148.549940141379
316,1054,149.004992802727
263,1055,26.2844071385601
52,1056,22.6477120526253
24,1057,121.291186965816
46,1058,88.4235785214305
279,1059,118.090427780378
281,1060,155.751170015853
297,1061,122.6371756105
231,1062,19.1582056378897
36,1063,26.5006318460745
27,1064,133.864556556923
331,1065,183.547927790625
313,1066,148.79542861247
267,1067,161.038775343219
233,1068,120.330766226305
151,1069,10.6075353663939
35,1070,40.4727619132651
16,1071,152.088591553933
58,1072,90.4056779112232
12,1073,61.0934877547425
40,1074,94.3639189382087
65,1075,41.2702388381862
36,1076,-19.5992690587008
42,1077,49.9523553311908
26,1078,142.101887645444
27,1079,119.634522259564
237,1080,157.148716032196
250,1081,171.091904793307
192,1082,120.446838353806
264,1083,34.9916636771137
32,1084,37.5352656688131
31,1085,177.363252084021
354,1086,180.683870336817
354,1087,171.6285354514
342,1088,182.833164596621
329,1089,149.576673114226
258,1090,43.4876304381807
34,1091,51.0086560294092
43,1092,172.671557285074
224,1093,169.826627991994
376,1094,181.522718339169
360,1095,171.269174720517
377,1096,161.091368181892
290,1097,47.696005592289
30,1098,28.3797462777426
31,1099,177.844628609324
362,1100,192.24015629324
376,1101,186.776515948398
291,1102,180.884027005794
340,1103,160.907327096643
308,1104,54.2549580622246
60,1105,48.872219741428
60,1106,175.782789927663
345,1107,186.451732337793
366,1108,176.499650701924
328,1109,178.556977269489
355,1110,155.310102128086
259,1111,35.4627317212892
40,1112,38.126427521554
41,1113,183.268565587338
348,1114,178.655801322192
347,1115,165.073679796265
335,1116,171.553561855914
363,1117,157.881321766401
234,1118,27.9377231426519
24,1119,50.3806600104715
31,1120,167.668379128533
296,1121,169.371185023802
264,1122,164.024640646483
253,1123,163.28226909849
288,1124,135.014744077478
254,1125,34.0889621836841
59,1126,45.4304613982668
59,1127,168.569357450627
268,1128,174.323775279364
322,1129,183.945543386267
334,1130,169.978481784201
327,1131,146.688255656888
279,1132,40.2784805387232
48,1133,43.6645989586028
38,1134,157.738758469526
317,1135,176.630898359274
