Day,Actual,Predicted
1424,245,247.198797503333
1425,249,212.585855741913
1426,170,108.611925496979
1427,49,94.9230511914812
1428,24,88.2399874369269
1429,44,337.96569625463
1430,116,337.322899665891
1431,36,181.934472350716
1432,62,187.581296233789
1433,57,139.945283431348
1434,36,94.5794215657027
1435,35,15.3102104438405
1436,63,396.342920616261
1437,43,351.270311166696
1438,226,340.204220982213
1439,257,295.087091819689
1440,226,179.984168303172
1441,41,150.906864240197
1442,39,128.677373261809
1443,333,380.491251618444
1444,344,427.244939632001
1445,349,335.914318202154
1446,317,241.871820730527
1447,262,175.648707630993
1448,45,141.09373371688
1449,33,236.354209054367
1450,315,518.699359878669
1451,341,345.511387087129
1452,263,295.769175805317
1453,257,277.05808956831
1454,250,218.907337041271
1455,44,111.13229936448
1456,51,141.26122166885
1457,303,356.747995855101
1458,333,281.676328182263
1459,272,235.059856759259
1460,279,228.667957203048
1461,206,210.109536411594
1462,36,225.878572500422
1463,30,267.487894090167
1464,306,515.576294171998
1465,309,372.340629638917
1466,298,230.870283523963
1467,255,154.49574220645
1468,134,79.6532847951725
1469,34,164.84529154152
1470,46,158.336241537871
1471,205,338.100519236787
1472,297,439.149939449288
1473,287,359.961009557454
1474,339,400.480072001152
1475,200,296.987279639374
1476,45,406.971451714052
1477,37,242.086660918231
1478,320,416.79654700381
1479,332,319.795019603961
1480,343,271.583898226875
1481,310,263.462863280559
1482,268,204.388837399789
1483,56,81.9389878336068
1484,62,115.874058406136
1485,291,366.266032862109
1486,321,322.21299247432
1487,312,299.850592836983
1488,298,343.37337116885
1489,233,315.586899732742
1490,53,288.398397121332
1491,46,192.161769320692
1492,336,451.104026501581
1493,370,384.627842938435
1494,342,329.288171004287
1495,325,288.169645057211
1496,300,179.412862260893
1497,69,37.2130550148426
1498,30,199.427275450296
1499,353,414.60605927716
1500,348,313.08018022588
1501,290,232.960451444571
1502,317,316.604845120888
1503,279,183.69019613832
1504,52,118.502065813069
1505,38,169.561220027208
1506,314,483.292954974192
1507,266,363.020259480453
1508,297,447.757409723995
1509,238,341.41260776701
1510,258,259.765988874404
1511,28,327.741409865248
1512,41,218.459535366163
1513,327,391.039884950256
1514,323,387.370022924367
